2.000000000000000042e-02 1.849732932341806446e+01
5.000000000000000278e-02 1.630013700446955127e+01
1.000000000000000056e-01 1.511756189150454510e+01
1.500000000000000222e-01 1.457705384753134403e+01
2.000000000000000111e-01 1.424448647417702851e+01
2.500000000000000000e-01 1.401322882959958172e+01
2.999999999999999889e-01 1.383946381465799647e+01
3.500000000000000333e-01 1.370209810892704105e+01
4.000000000000000222e-01 1.358954976303374096e+01
4.500000000000000111e-01 1.349485538118702266e+01
5.000000000000000000e-01 1.341353950539978612e+01
