2.000000000000000042e-02 1.027877404206821410e+02
5.000000000000000278e-02 1.318468921670006750e+02
1.000000000000000056e-01 1.574223549267927922e+02
1.500000000000000222e-01 1.738594383106025987e+02
2.000000000000000111e-01 1.864145902227099043e+02
2.500000000000000000e-01 1.966679613975479413e+02
2.999999999999999889e-01 2.054260608414665796e+02
3.500000000000000333e-01 2.131302792800353814e+02
4.000000000000000222e-01 2.200487795125922617e+02
4.500000000000000111e-01 2.263567648980356637e+02
5.000000000000000000e-01 2.321750465495283891e+02
