2.000000000000000042e-02 2.280699692642586029e+01
5.000000000000000278e-02 2.110923177701227615e+01
1.000000000000000056e-01 2.021447676957023631e+01
1.500000000000000222e-01 1.979759018860467634e+01
2.000000000000000111e-01 1.953158897089580037e+01
2.500000000000000000e-01 1.933847770677634870e+01
2.999999999999999889e-01 1.918675113501369722e+01
3.500000000000000333e-01 1.906140910812591827e+01
4.000000000000000222e-01 1.895427046631014889e+01
4.500000000000000111e-01 1.886043273516162699e+01
5.000000000000000000e-01 1.877674630477397955e+01
