# omch2,ombh2,H0,mnu,w0,wa,nnu,ok
7.288719790998793542e+03,5.052364274618172203e+04,-8.538480462702294460e+01,-5.396861617937818778e+01,-1.128580190875500193e+03,-1.485619610337295455e+02,2.548171270740421903e+02,-1.397655797459537553e+03
5.052364274618172203e+04,3.801497636522930115e+05,-6.294163405403929801e+02,-4.657106071516022894e+02,-9.235239921393389523e+03,-1.290567388211220305e+03,1.942286598346139726e+03,-1.160853373479507900e+04
-8.538480462702294460e+01,-6.294163405403929801e+02,1.047358665672690536e+00,7.471513828376388222e-01,1.499250876969518309e+01,2.067487156163807516e+00,-3.205828590474090412e+00,1.878207545221632557e+01
-5.396861617937818778e+01,-4.657106071516022894e+02,7.471513828376388222e-01,6.800061066080129724e-01,1.267877295112084823e+01,1.898157225341272847e+00,-2.425317195133995796e+00,1.622634111653473354e+01
-1.128580190875500193e+03,-9.235239921393389523e+03,1.499250876969518309e+01,1.267877295112084823e+01,2.417161132904513465e+02,3.528951672763388814e+01,-4.775730370605324993e+01,3.072743812492822713e+02
-1.485619610337295455e+02,-1.290567388211220305e+03,2.067487156163807516e+00,1.898157225341272847e+00,3.528951672763388814e+01,5.300818670285647016e+00,-6.726744716160427018e+00,4.520477606241418300e+01
2.548171270740421903e+02,1.942286598346139726e+03,-3.205828590474090412e+00,-2.425317195133995796e+00,-4.775730370605324993e+01,-6.726744716160427018e+00,9.942885914022813409e+00,-6.015133875184375256e+01
-1.397655797459537553e+03,-1.160853373479507900e+04,1.878207545221632557e+01,1.622634111653473354e+01,3.072743812492822713e+02,4.520477606241418300e+01,-6.015133875184375256e+01,3.914102642627800606e+02
