1.000000000000000048e-04,1.828690585597522622e+00,3.067734508492124811e-05,7.075929154808461305e-04,9.268022047505888872e-03,2.037760626626292960e-03,3.923361953238599699e-11,7.416668709693849393e-02,5.578530741874835469e-02
1.119999999999999983e-04,1.831713382800304712e+00,3.081568703282258246e-05,7.077626859610397243e-04,9.269301460943853155e-03,2.034836579917073066e-03,3.928101713798544691e-11,7.417226664426730676e-02,5.570888793826576230e-02
1.259999999999999998e-04,1.840348311440042517e+00,3.074310421620544921e-05,7.073662519708125585e-04,9.266475685046958108e-03,2.036656697864723010e-03,3.930192198607062801e-11,7.417858976124967751e-02,5.588024547839537393e-02
1.420000000000000092e-04,1.834229769304480895e+00,3.073922385610094484e-05,7.076431800163383032e-04,9.267461281141675319e-03,2.034678540124095457e-03,3.929057888140449733e-11,7.417495519709567386e-02,5.574008655787399125e-02
1.589999999999999888e-04,1.837358842510627310e+00,3.077363842204146761e-05,7.076474452743583424e-04,9.267278069568085988e-03,2.035297117437919346e-03,3.929326941533863739e-11,7.417527742471474728e-02,5.585410787370027885e-02
1.789999999999999870e-04,1.837014192100031140e+00,3.076420266794411201e-05,7.076108099059626177e-04,9.266758652690079007e-03,2.035634275718862379e-03,3.928160115487600435e-11,7.417300426993397866e-02,5.588729692444426717e-02
2.010000000000000068e-04,1.838456054764142866e+00,3.070986337150208545e-05,7.072125287590743173e-04,9.266866997889892585e-03,2.034863902223930585e-03,3.930501104038867681e-11,7.418116323213956587e-02,5.576042443499919926e-02
2.259999999999999910e-04,1.840794864074850379e+00,3.084167757315987038e-05,7.073191558718532751e-04,9.268423680238169204e-03,2.035349353958880100e-03,3.930631762613700571e-11,7.418031324814422511e-02,5.587220504017841038e-02
2.539999999999999940e-04,1.841747451290522974e+00,3.080204410917725588e-05,7.074206283571559664e-04,9.266993515969195599e-03,2.035250854244884198e-03,3.931590154135890358e-11,7.418220144471840416e-02,5.588826364045470368e-02
2.860000000000000129e-04,1.846516608488074640e+00,3.080253649942753968e-05,7.073484805327884782e-04,9.265928881415239071e-03,2.035931700353213730e-03,3.932572635794565604e-11,7.418499825779832635e-02,5.602352252057161974e-02
3.209999999999999963e-04,1.843706634112316278e+00,3.077001976535498703e-05,7.072432549469616315e-04,9.265944202337637881e-03,2.036300732365112567e-03,3.930681341162968135e-11,7.418067763890662247e-02,5.597297929557684681e-02
3.609999999999999928e-04,1.845345852016579524e+00,3.084195494159545610e-05,7.071761397370589534e-04,9.266881614031439660e-03,2.036380203126218497e-03,3.931172123222633902e-11,7.418222481406219759e-02,5.600663893911672631e-02
4.049999999999999781e-04,1.843790009093721149e+00,3.078955499851773742e-05,7.072257118190385192e-04,9.266104138233307447e-03,2.035986833692586800e-03,3.931166161899968662e-11,7.418217463239540344e-02,5.595274250406216676e-02
4.550000000000000008e-04,1.847146195492226584e+00,3.079230587533682452e-05,7.072347816201398664e-04,9.265180513193624345e-03,2.036288644322676190e-03,3.932894604008930886e-11,7.418683708116102782e-02,5.601596911519984151e-02
