# omch2,ombh2,H0,mnu,w0,wa,nnu,ok
7.307923808435924002e+04,5.812943341675671982e+05,-9.498504929993678161e+02,-7.698469068802671700e+02,-1.543701873178717688e+04,-2.245714833286373960e+03,2.994213507079253759e+03,-1.977582093478082606e+04
5.812943341675671982e+05,1.241536921315279603e+07,-1.732899362986994674e+04,-2.996916514151862430e+04,-3.837649540341739194e+05,-7.683276694021844014e+04,6.961471009641051933e+04,-5.333219376556430943e+05
-9.498504929993678161e+02,-1.732899362986994674e+04,2.460551981659349252e+01,3.991751102777075744e+01,5.280048790749013961e+02,1.031592619788599876e+02,-9.636527527494089895e+01,7.287089884782232048e+02
-7.698469068802671700e+02,-2.996916514151862430e+04,3.991751102777075744e+01,8.108755298099575270e+01,9.613151371445935638e+02,2.041301303993793397e+02,-1.717032800306187426e+02,1.359109585547097367e+03
-1.543701873178717688e+04,-3.837649540341739194e+05,5.280048790749013961e+02,9.613151371445935638e+02,1.207120054542230355e+04,2.460019270765455076e+03,-2.166463337741022769e+03,1.687261861804036016e+04
-2.245714833286373960e+03,-7.683276694021844014e+04,1.031592619788599876e+02,2.041301303993793397e+02,2.460019270765455076e+03,5.171128149870214656e+02,-4.386281979741103214e+02,3.469842521344742181e+03
2.994213507079253759e+03,6.961471009641051933e+04,-9.636527527494089895e+01,-1.717032800306187426e+02,-2.166463337741022769e+03,-4.386281979741103214e+02,3.918727470725514195e+02,-3.020453683320297841e+03
-1.977582093478082606e+04,-5.333219376556430943e+05,7.287089884782232048e+02,1.359109585547097367e+03,1.687261861804036016e+04,3.469842521344742181e+03,-3.020453683320297841e+03,2.364982948629502062e+04
